34,25,25,26,25,14,32,32,38,32,25,4,9,10,3,12,0,2,25,25,25,32,28,26,28,27,26,25,37,29,28,25,28,34,28,26,30,26,32,32,25,25,29,25,25,25,25,25,25,25,25,25,26,22,39,27,25,26,27,25,25,29,36,26,25,25,27,25,25,25,25,25,25,25,29,25,34,27,28,25,28,32,28,25,26,28,28,32,39,27,0,0,0,0,2,18,0,5,0,0,0
32,28,32,26,25,25,25,10,25,5,28,25,25,28,25,31,27,27,25,0,8,9,45,12,0,0,0,2,0,13,0,0,0,2,11,0,0,0,6,4,27,31,25,52,52,52,31,52,52,52,52,52,52,52,25,25,28,32,25,43,25,32,32,25,25,5,8,0,2,11,0,0,0,0,0,9,5,0,0,2,2,9,4,2,0,2,0,0,7,2,0,2,0,52,50,50,50,50,50,50,52
3,26,25,25,9,0,0,9,10,25,25,27,25,26,26,26,25,25,25,28,16,28,25,25,25,25,25,25,25,25,32,25,46,26,25,29,25,25,25,25,25,25,37,25,25,50,50,50,50,50,50,50,0,5,0,0,0,24,0,0,0,10,5,6,0,0,2,0,0,6,0,0,11,0,2,6,2,0,0,0,0,0,0,5,8,5,0,0,2,4,0,4,0,2,0,52,0,4,22,0,38
9,0,0,0,3,0,2,2,0,5,4,7,0,9,6,2,0,0,0,5,0,5,0,0,0,0,0,0,2,2,0,9,9,12,0,2,0,0,2,0,6,0,0,0,8,3,4,2,0,9,0,10,0,0,0,2,9,0,0,0,0,11,0,0,0,2,0,0,0,0,4,8,0,0,2,4,0,43,0,0,0,5,50,50,8,50,50,50,50,50,50,50,50,50,50,50,50,12,50,50,50
25,32,11,0,50,50,50,50,50,50,50,6,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,12,50,50,50,50,50,50,50,50,50,50,50,10,50,4,50,7,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,5,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
25,25,52,4,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,49,38,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,43,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,24,52,52,52,52,52,52,52,14,52,52,52,52,52,52,52,52,52,52,52,0,35,0,4,0,0,0,0,0,4,0,2,10,0,0,2,3,0,3,0,0,50,50,50
50,50,50,50,25,25,38,8,0,4,0,24,0,31,0,12,2,2,4,6,24,0,0,23,0,0,3,0,8,5,0,0,0,32,14,4,0,0,0,29,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,42,52,52,52,52,52,52,52,52,52,52,51,51,50,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
0,0,0,2,0,0,0,51,51,51,51,51,51,51,51,51,51,51,0,1,10,0,1,0,0,0,51,51,51,51,51,51,51,51,51,51,0,0,0,2,9,0,0,0,0,2,0,51,51,51,39,51,51,51,51,51,51,0,0,0,0,2,0,35,0,0,0,5,2,2,0,0,51,51,51,51,51,51,51,51,51,51,51,51,13,0,2,0,0,12,25,25,43,25,25,25,25,25,0,0,3
36,5,0,0,0,11,0,14,3,0,6,0,0,12,0,0,44,5,0,0,0,0,0,0,0,3,0,11,5,0,0,0,25,25,25,25,25,26,25,25,27,25,25,25,25,3,2,2,0,3,0,11,0,0,6,0,0,0,52,0,0,11,4,0,0,9,0,0,0,0,0,0,0,2,0,0,12,0,11,0,0,9,0,0,7,0,16,9,0,5,0,0,0,10,0,10,0,0,9,11,9
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,23,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,44,51,51,35,51,51,51,51,51,51,51,51,51,51,51,51,32,51,51,51,51,51,51,51,51,51,51,51,51
